date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:33:05	82309/82309	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/index3-one-page.html	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/index3-one-page.html	(from )
10:33:06	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2026%20Oct%202025%2004:33:06%20GMT	https://bracketweb.com/robots.txt		(from )
10:33:07	37708/37708	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/images/favicons/apple-touch-icon.png	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/images/favicons/apple-touch-icon.png	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:07	2872/2872	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/images/favicons/favicon-32x32.png	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/images/favicons/favicon-32x32.png	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:07	895/895	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/images/favicons/favicon-16x16.png	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/images/favicons/favicon-16x16.png	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:08	263/263	---M--	200	added ('OK')	application/manifest+json	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/images/favicons/site.webmanifest	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/images/favicons/site.webmanifest	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:08	83884/83884	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/animate/animate.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/animate/animate.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:08	154875/154875	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:09	27526/27526	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/animate/custom-animate.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/animate/custom-animate.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:09	59344/59344	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/fontawesome/css/all.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/fontawesome/css/all.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:10	321/321	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/jarallax/jarallax.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/jarallax/jarallax.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:10	6951/6951	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/jquery-magnific-popup/jquery.magnific-popup.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:10	4039/4039	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/nouislider/nouislider.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/nouislider/nouislider.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:10	1323/1323	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/nouislider/nouislider.pips.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/nouislider/nouislider.pips.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:11	3116/3116	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/odometer/odometer.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/odometer/odometer.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:11	13677/13677	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/swiper/swiper.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/swiper/swiper.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:11	2560/2560	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/zeinet-icons/style.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/zeinet-icons/style.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:12	2058/2058	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/tiny-slider/tiny-slider.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/tiny-slider/tiny-slider.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:12	302/302	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/reey-font/stylesheet.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/reey-font/stylesheet.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
10:33:12	3351/3351	---M-Z	200	added ('OK')	text/css	date:Tue,%2030%20Jan%202024%2023:57:34%20GMT	https://bracketweb.com/zeinet-html/main-html/assets/vendors/owl-carousel/owl.carousel.min.css	D:/xampp/htdocs/Laravel/ISP-MS/bracketweb.com/zeinet-html/main-html/assets/vendors/owl-carousel/owl.carousel.min.css	(from https://bracketweb.com/zeinet-html/main-html/index3-one-page.html)
